,volume_1
full_heart_mesh_544,130.22060116700158
full_heart_mesh_545,121.65943550399751
full_heart_mesh_546,134.60526664659838
full_heart_mesh_547,142.02693094695522
full_heart_mesh_548,133.39680371830488
full_heart_mesh_549,139.59595764633912
full_heart_mesh_550,131.09551823351666
full_heart_mesh_551,124.70644132151601
full_heart_mesh_552,143.42194859303555
full_heart_mesh_553,134.64277025148905
full_heart_mesh_554,126.86600552806043
full_heart_mesh_555,127.87847365357715
full_heart_mesh_556,128.70461657173513
full_heart_mesh_557,133.9888939132331
full_heart_mesh_558,144.05797341702677
full_heart_mesh_559,127.77348526510595
full_heart_mesh_560,125.06008945760348
full_heart_mesh_561,132.9946888570098
full_heart_mesh_562,125.88841002133972
full_heart_mesh_563,125.50196469458042
full_heart_mesh_564,129.81578848925687
full_heart_mesh_565,144.4570235900784
full_heart_mesh_566,117.12352160413603
full_heart_mesh_567,126.41952960105581
full_heart_mesh_568,128.82251599085745
full_heart_mesh_569,132.5031021018992
full_heart_mesh_570,105.02397521027842
full_heart_mesh_571,145.45464020974632
full_heart_mesh_572,108.27042116370123
full_heart_mesh_573,102.63344982912942
full_heart_mesh_574,109.29360339207155
full_heart_mesh_575,122.77950053404194
full_heart_mesh_576,108.69126010793501
full_heart_mesh_577,116.45203178185986
full_heart_mesh_578,117.13872787104347
full_heart_mesh_579,154.46272496151215
full_heart_mesh_580,128.76381801750807
full_heart_mesh_581,100.44603606241589
full_heart_mesh_582,112.53668451760429
full_heart_mesh_583,121.64728128723925
full_heart_mesh_584,134.76342429962125
full_heart_mesh_585,108.7951722777383
full_heart_mesh_586,130.54105643145877
full_heart_mesh_587,124.94549476525046
full_heart_mesh_588,136.3457663569202
full_heart_mesh_589,107.0430439495236
full_heart_mesh_590,136.50182360071486
full_heart_mesh_591,145.29983003323207
full_heart_mesh_592,110.82398266979294
full_heart_mesh_593,119.52016842493066
full_heart_mesh_594,141.35202753197925
full_heart_mesh_595,145.50501072345978
full_heart_mesh_596,141.55134497005463
full_heart_mesh_597,155.39093668102555
full_heart_mesh_598,82.35387389724178
full_heart_mesh_599,114.13003176466628
full_heart_mesh_600,126.7981354220795
full_heart_mesh_601,133.64410305267305
full_heart_mesh_602,149.37344749964427
full_heart_mesh_603,124.0212219158216
full_heart_mesh_604,118.48146389281594
full_heart_mesh_605,117.88652194501661
full_heart_mesh_606,130.47047648753937
full_heart_mesh_607,125.12783394392483
full_heart_mesh_608,108.5677516535533
full_heart_mesh_609,122.6172091758273
full_heart_mesh_610,108.59981820844662
full_heart_mesh_611,106.14928095267187
full_heart_mesh_612,109.06755924869427
full_heart_mesh_613,110.39437739448199
full_heart_mesh_614,117.21703145168324
full_heart_mesh_615,125.13423006377836
full_heart_mesh_616,133.54619465585859
full_heart_mesh_617,133.9202515236975
full_heart_mesh_618,130.06224531745377
full_heart_mesh_619,139.62193797122492
full_heart_mesh_620,133.3008634601136
full_heart_mesh_621,147.7235953541683
full_heart_mesh_622,124.96122458086407
full_heart_mesh_623,104.21492338444719
full_heart_mesh_624,137.11475918541862
full_heart_mesh_625,118.26805317001806
full_heart_mesh_626,110.33024407796096
full_heart_mesh_627,105.47884306212588
full_heart_mesh_628,110.15378559002099
full_heart_mesh_629,105.08944080901654
full_heart_mesh_630,132.7068980856809
full_heart_mesh_631,127.99721675739102
full_heart_mesh_632,121.93295692501398
full_heart_mesh_633,117.78233807189284
full_heart_mesh_634,122.8325058844183
full_heart_mesh_635,138.1264854476755
full_heart_mesh_636,107.88468430361432
full_heart_mesh_637,130.5506972950606
full_heart_mesh_638,118.82934164974918
full_heart_mesh_639,116.65602012938943
full_heart_mesh_640,122.83109234970668
full_heart_mesh_641,120.46707354112574
full_heart_mesh_642,116.98453358861903
full_heart_mesh_643,114.55509350000969
full_heart_mesh_644,138.8751913046495
full_heart_mesh_645,138.23256042208766
full_heart_mesh_646,127.86354332342025
full_heart_mesh_647,125.86036303059409
full_heart_mesh_648,137.87400853391622
full_heart_mesh_649,119.68553714482411
full_heart_mesh_650,104.98198585618495
full_heart_mesh_651,128.0516277925207
full_heart_mesh_652,142.73150850831115
full_heart_mesh_653,134.32727825562972
full_heart_mesh_654,146.87509021671613
full_heart_mesh_655,124.17615330587601
full_heart_mesh_656,143.29877890569298
full_heart_mesh_657,116.15244515873214
full_heart_mesh_658,138.4193501984009
full_heart_mesh_659,118.48207444748078
full_heart_mesh_660,128.82372811756298
full_heart_mesh_661,131.2519274521694
full_heart_mesh_662,114.63096659844975
full_heart_mesh_663,124.68546811610955
